,ID,Utterance,Speaker,Dialogue_ID,Target
0,TRAIN_0000,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,0,neutral
1,TRAIN_0001,You must’ve had your hands full.,The Interviewer,0,neutral
2,TRAIN_0002,That I did. That I did.,Chandler,0,neutral
3,TRAIN_0003,So let’s talk a little bit about your duties.,The Interviewer,0,neutral
4,TRAIN_0004,My duties?  All right.,Chandler,0,surprise
5,TRAIN_0005,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,0,neutral
6,TRAIN_0006,I see.,Chandler,0,neutral
7,TRAIN_0007,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,0,neutral
8,TRAIN_0008,Good to know.,Chandler,0,neutral
9,TRAIN_0009,We can go into detail,The Interviewer,0,neutral
10,TRAIN_0010,No don’t I beg of you!,Chandler,0,fear
11,TRAIN_0011,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,0,neutral
12,TRAIN_0012,Really?!,Chandler,0,surprise
13,TRAIN_0013,Absolutely.  You can relax,The Interviewer,0,neutral
14,TRAIN_0014,But then who? The waitress I went out with last month?,Joey,1,surprise
15,TRAIN_0015,You know? Forget it!,Rachel,1,sadness
16,TRAIN_0016,"No-no-no-no, no! Who, who were you talking about?",Joey,1,surprise
17,TRAIN_0017,"No, I-I-I-I don't, I actually don't know",Rachel,1,fear
18,TRAIN_0018,Ok!,Joey,1,neutral
19,TRAIN_0019,"All right, well...",Joey,1,neutral
20,TRAIN_0020,"Yeah, sure!",Rachel,1,neutral
21,TRAIN_0021,"Hey, Mon.",Chandler,2,neutral
22,TRAIN_0022,Hey-hey-hey. You wanna hear something that sucks.,Monica,2,neutral
23,TRAIN_0023,Do I ever.,Chandler,2,joy
24,TRAIN_0024,Chris says they’re closing down the bar.,Monica,2,sadness
25,TRAIN_0025,No way!,Chandler,2,surprise
26,TRAIN_0026,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,2,neutral
27,TRAIN_0027,Just coffee! Where are we gonna hang out now?,Chandler,2,disgust
28,TRAIN_0028,Got me.,Monica,2,sadness
29,TRAIN_0029,Can I get a beer.,Chandler,2,neutral
30,TRAIN_0030,"Hey, did you pick a roommate?",Monica,2,neutral
31,TRAIN_0031,You betcha!,Chandler,2,joy
32,TRAIN_0032,Is it the Italian guy?,Monica,2,neutral
33,TRAIN_0033,"Um-mm, yeah right!",Chandler,2,joy
34,TRAIN_0034,"Oh my God, oh my God! Poor Monica!",Phoebe,3,surprise
35,TRAIN_0035,"What, what, what?!",Chandler,3,surprise
36,TRAIN_0036,What?!,Phoebe,3,surprise
37,TRAIN_0037,He was with her when he wrote this poem.,Phoebe,3,neutral
38,TRAIN_0038,"Look,  'My vessel so empty with nothing inside.",Phoebe,3,neutral
39,TRAIN_0039,"Now that I've touched you, you seem emptier still.'",Phoebe,3,neutral
40,TRAIN_0040,"He thinks Monica is empty, she is the empty vase!",Phoebe,3,surprise
41,TRAIN_0041,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,3,sadness
42,TRAIN_0042,Done.,Joey,3,neutral
43,TRAIN_0043,Hey!,Rachel,4,surprise
44,TRAIN_0044,Hi!,Ross,4,joy
45,TRAIN_0045,What are you doing here?,Rachel,4,surprise
46,TRAIN_0046,"Ah y'know, this building is on my paper route so I...",Ross,4,neutral
47,TRAIN_0047,Oh.,Rachel,4,neutral
48,TRAIN_0048,Hi.,Ross,4,neutral
49,TRAIN_0049,Hi.,Rachel,4,neutral
50,TRAIN_0050,How’d did it go?,Ross,4,neutral
51,TRAIN_0051,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,4,joy
52,TRAIN_0052,I’m so proud of you.,Ross,4,joy
53,TRAIN_0053,Me too!,Rachel,4,joy
54,TRAIN_0054,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,4,sadness
55,TRAIN_0055,I know.,Rachel,4,neutral
56,TRAIN_0056,Yeah.,Ross,4,neutral
57,TRAIN_0057,Yeah.,Rachel,4,neutral
58,TRAIN_0058,Ameri-can.,Phoebe,5,neutral
59,TRAIN_0059,Ameri-ccan.,Joey,5,neutral
60,TRAIN_0060,Ameri-can. Y'know it’s a,Phoebe,5,neutral
61,TRAIN_0061,Everybody!!,Sergei,5,surprise
62,TRAIN_0062,Good job Joe! Well done! Top notch!,Chandler,6,joy
63,TRAIN_0063,You liked it? You really liked it?,Joey,6,surprise
64,TRAIN_0064,"Oh-ho-ho, yeah!",Chandler,6,joy
65,TRAIN_0065,Which part exactly?,Joey,6,neutral
66,TRAIN_0066,The whole thing! Can we go?,Chandler,6,neutral
67,TRAIN_0067,"Oh no-no-no, give me some specifics.",Joey,6,anger
68,TRAIN_0068,"I love the specifics, the specifics were the best part!",Chandler,6,joy
69,TRAIN_0069,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,6,neutral
70,TRAIN_0070,I was surprised to see a kangaroo in a World War I epic.,Chandler,6,surprise
71,TRAIN_0071,You fell asleep!!,Joey,6,anger
72,TRAIN_0072,There was no kangaroo!,Joey,6,anger
73,TRAIN_0073,They didn’t take any of my suggestions!,Joey,6,anger
74,TRAIN_0074,That’s for coming buddy.,Joey,6,neutral
75,TRAIN_0075,I’ll see you later.,Joey,6,neutral
