,Unnamed: 0,ID,Utterance,Speaker,Dialogue_ID,Target
0,0.0,TRAIN_0000,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,0.0,neutral
1,1.0,TRAIN_0001,You must’ve had your hands full.,The Interviewer,0.0,neutral
2,2.0,TRAIN_0002,That I did. That I did.,Chandler,0.0,neutral
3,3.0,TRAIN_0003,So let’s talk a little bit about your duties.,The Interviewer,0.0,neutral
4,4.0,TRAIN_0004,My duties?  All right.,Chandler,0.0,surprise
5,5.0,TRAIN_0005,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,0.0,neutral
6,6.0,TRAIN_0006,I see.,Chandler,0.0,neutral
7,7.0,TRAIN_0007,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,0.0,neutral
8,8.0,TRAIN_0008,Good to know.,Chandler,0.0,neutral
9,9.0,TRAIN_0009,We can go into detail,The Interviewer,0.0,neutral
10,10.0,TRAIN_0010,No don’t I beg of you!,Chandler,0.0,fear
11,11.0,TRAIN_0011,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,0.0,neutral
12,12.0,TRAIN_0012,Really?!,Chandler,0.0,surprise
13,13.0,TRAIN_0013,Absolutely.  You can relax,The Interviewer,0.0,neutral
14,14.0,TRAIN_0014,But then who? The waitress I went out with last month?,Joey,1.0,surprise
15,15.0,TRAIN_0015,You know? Forget it!,Rachel,1.0,sadness
16,16.0,TRAIN_0016,"No-no-no-no, no! Who, who were you talking about?",Joey,1.0,surprise
17,17.0,TRAIN_0017,"No, I-I-I-I don't, I actually don't know",Rachel,1.0,fear
18,18.0,TRAIN_0018,Ok!,Joey,1.0,neutral
19,19.0,TRAIN_0019,"All right, well...",Joey,1.0,neutral
20,20.0,TRAIN_0020,"Yeah, sure!",Rachel,1.0,neutral
21,21.0,TRAIN_0021,"Hey, Mon.",Chandler,2.0,neutral
22,22.0,TRAIN_0022,Hey-hey-hey. You wanna hear something that sucks.,Monica,2.0,neutral
23,23.0,TRAIN_0023,Do I ever.,Chandler,2.0,joy
24,24.0,TRAIN_0024,Chris says they’re closing down the bar.,Monica,2.0,sadness
25,25.0,TRAIN_0025,No way!,Chandler,2.0,surprise
26,26.0,TRAIN_0026,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,2.0,neutral
27,27.0,TRAIN_0027,Just coffee! Where are we gonna hang out now?,Chandler,2.0,disgust
28,28.0,TRAIN_0028,Got me.,Monica,2.0,sadness
29,29.0,TRAIN_0029,Can I get a beer.,Chandler,2.0,neutral
30,30.0,TRAIN_0030,"Hey, did you pick a roommate?",Monica,2.0,neutral
31,31.0,TRAIN_0031,You betcha!,Chandler,2.0,joy
32,32.0,TRAIN_0032,Is it the Italian guy?,Monica,2.0,neutral
33,33.0,TRAIN_0033,"Um-mm, yeah right!",Chandler,2.0,joy
34,34.0,TRAIN_0034,"Oh my God, oh my God! Poor Monica!",Phoebe,3.0,surprise
35,35.0,TRAIN_0035,"What, what, what?!",Chandler,3.0,surprise
36,36.0,TRAIN_0036,What?!,Phoebe,3.0,surprise
37,37.0,TRAIN_0037,He was with her when he wrote this poem.,Phoebe,3.0,neutral
38,38.0,TRAIN_0038,"Look,  'My vessel so empty with nothing inside.",Phoebe,3.0,neutral
39,39.0,TRAIN_0039,"Now that I've touched you, you seem emptier still.'",Phoebe,3.0,neutral
40,40.0,TRAIN_0040,"He thinks Monica is empty, she is the empty vase!",Phoebe,3.0,surprise
41,41.0,TRAIN_0041,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,3.0,sadness
42,42.0,TRAIN_0042,Done.,Joey,3.0,neutral
43,43.0,TRAIN_0043,Hey!,Rachel,4.0,surprise
44,44.0,TRAIN_0044,Hi!,Ross,4.0,joy
45,45.0,TRAIN_0045,What are you doing here?,Rachel,4.0,surprise
46,46.0,TRAIN_0046,"Ah y'know, this building is on my paper route so I...",Ross,4.0,neutral
47,47.0,TRAIN_0047,Oh.,Rachel,4.0,neutral
48,48.0,TRAIN_0048,Hi.,Ross,4.0,neutral
49,49.0,TRAIN_0049,Hi.,Rachel,4.0,neutral
50,50.0,TRAIN_0050,How’d did it go?,Ross,4.0,neutral
51,51.0,TRAIN_0051,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,4.0,joy
52,52.0,TRAIN_0052,I’m so proud of you.,Ross,4.0,joy
53,53.0,TRAIN_0053,Me too!,Rachel,4.0,joy
54,54.0,TRAIN_0054,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,4.0,sadness
55,55.0,TRAIN_0055,I know.,Rachel,4.0,neutral
56,56.0,TRAIN_0056,Yeah.,Ross,4.0,neutral
57,57.0,TRAIN_0057,Yeah.,Rachel,4.0,neutral
58,58.0,TRAIN_0058,Ameri-can.,Phoebe,5.0,neutral
59,59.0,TRAIN_0059,Ameri-ccan.,Joey,5.0,neutral
60,60.0,TRAIN_0060,Ameri-can. Y'know it’s a,Phoebe,5.0,neutral
61,61.0,TRAIN_0061,Everybody!!,Sergei,5.0,surprise
62,62.0,TRAIN_0062,Good job Joe! Well done! Top notch!,Chandler,6.0,joy
63,63.0,TRAIN_0063,You liked it? You really liked it?,Joey,6.0,surprise
64,64.0,TRAIN_0064,"Oh-ho-ho, yeah!",Chandler,6.0,joy
65,65.0,TRAIN_0065,Which part exactly?,Joey,6.0,neutral
66,66.0,TRAIN_0066,The whole thing! Can we go?,Chandler,6.0,neutral
67,67.0,TRAIN_0067,"Oh no-no-no, give me some specifics.",Joey,6.0,anger
68,68.0,TRAIN_0068,"I love the specifics, the specifics were the best part!",Chandler,6.0,joy
69,69.0,TRAIN_0069,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,6.0,neutral
70,70.0,TRAIN_0070,I was surprised to see a kangaroo in a World War I epic.,Chandler,6.0,surprise
71,71.0,TRAIN_0071,You fell asleep!!,Joey,6.0,anger
72,72.0,TRAIN_0072,There was no kangaroo!,Joey,6.0,anger
73,73.0,TRAIN_0073,They didn’t take any of my suggestions!,Joey,6.0,anger
74,74.0,TRAIN_0074,That’s for coming buddy.,Joey,6.0,neutral
75,75.0,TRAIN_0075,I’ll see you later.,Joey,6.0,neutral
76,76.0,TRAIN_0076,Don’t go!,Chandler,6.0,sadness
77,77.0,TRAIN_0077,I’m sorry.,Chandler,6.0,sadness
78,78.0,TRAIN_0078,I’m so sorry!,Chandler,6.0,sadness
79,79.0,TRAIN_0079,Look!,Chandler,6.0,surprise
80,80.0,TRAIN_0080,This guy fell asleep!,Chandler,6.0,anger
81,81.0,TRAIN_0081,He fell asleep too!,Chandler,6.0,anger
82,82.0,TRAIN_0082,Be mad at him!,Chandler,6.0,anger
83,83.0,TRAIN_0083,"Or, call an ambulance.",Chandler,6.0,anger
84,84.0,TRAIN_0084,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,7.0,neutral
85,85.0,TRAIN_0085,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,7.0,anger
86,86.0,TRAIN_0086,"Yes, and it is my dying wish to have that ring.",Phoebe,8.0,neutral
87,87.0,TRAIN_0087,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,8.0,neutral
88,88.0,TRAIN_0088,"Okay, that’s enough honey!",Chandler,8.0,neutral
89,89.0,TRAIN_0089,I don’t know.  Let me see the ring.,Customer,8.0,neutral
90,90.0,TRAIN_0090,"Great! Okay, here.",Chandler,8.0,joy
91,91.0,TRAIN_0091,All right.,Customer,8.0,neutral
92,92.0,TRAIN_0092,Thank you. Thank you. Thank you!  And,Chandler,8.0,joy
93,93.0,TRAIN_0093,What've you been up to?,Chandler,9.0,neutral
94,94.0,TRAIN_0094,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,9.0,neutral
95,95.0,TRAIN_0095,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,9.0,neutral
96,96.0,TRAIN_0096,Can you hold on a moment? I have another call.  I love her.,Chandler,9.0,joy
97,97.0,TRAIN_0097,I know.,Ross,9.0,neutral
98,98.0,TRAIN_0098,I'm back.,Chandler,9.0,neutral
99,99.0,TRAIN_0099,"So, are we gonna get together or what?",Jade,9.0,neutral
100,100.0,TRAIN_0100,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,9.0,neutral
101,101.0,TRAIN_0101,"Great, I'll see you then.",Jade,9.0,neutral
102,102.0,TRAIN_0102,Ok.  Ok. Having a phone has finally paid off.,Chandler,9.0,joy
103,103.0,TRAIN_0103,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,9.0,neutral
104,104.0,TRAIN_0104,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,9.0,neutral
105,105.0,TRAIN_0105,Oh my god. You are pure evil.,Ross,9.0,disgust
106,106.0,TRAIN_0106,"Ok, pure evil , horny and alone . I've done this",Chandler,9.0,anger
107,107.0,TRAIN_0107,Nobody!,Phoebe,10.0,anger
108,108.0,TRAIN_0108,Nobody respects the bucket!,Phoebe,10.0,anger
109,109.0,TRAIN_0109,You wouldn't believe what people put in here!,Phoebe,10.0,anger
110,110.0,TRAIN_0110,Look!,Phoebe,10.0,anger
111,111.0,TRAIN_0111,"Okay, does this look like a garbage can to you?",Phoebe,10.0,anger
112,112.0,TRAIN_0112,No.,Monica,10.0,neutral
113,113.0,TRAIN_0113,This is my wedding.,Ross,11.0,neutral
114,114.0,TRAIN_0114,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,11.0,anger
115,115.0,TRAIN_0115,Fine. You’ll-you’ll watch it on video when we get back.,Ross,11.0,neutral
116,116.0,TRAIN_0116,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,11.0,joy
117,117.0,TRAIN_0117,Thank you.,Phoebe,11.0,neutral
118,118.0,TRAIN_0118,Thank you.,Phoebe,11.0,neutral
119,119.0,TRAIN_0119,"All right, let’s go! Bye, Pheebs!",Ross,11.0,joy
120,120.0,TRAIN_0120,"Bye, Pheebs!",Joey,11.0,joy
121,121.0,TRAIN_0121,London baby!!,Joey,11.0,joy
122,122.0,TRAIN_0122,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,11.0,joy
123,123.0,TRAIN_0123,Hey!,Chandler,12.0,neutral
124,124.0,TRAIN_0124,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,12.0,joy
125,125.0,TRAIN_0125,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,12.0,disgust
126,126.0,TRAIN_0126,What?!,Joey,12.0,surprise
127,127.0,TRAIN_0127,What’s wrong with you?,Chandler,12.0,disgust
128,128.0,TRAIN_0128,Nothing!,Joey,12.0,neutral
129,129.0,TRAIN_0129,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,12.0,fear
130,130.0,TRAIN_0130,"But um, I don’t think it’s anything serious.",Joey,12.0,neutral
131,131.0,TRAIN_0131,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,12.0,surprise
132,132.0,TRAIN_0132,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,12.0,fear
133,133.0,TRAIN_0133,That’s a hernia.,Chandler,12.0,disgust
134,134.0,TRAIN_0134,Why did I have to start working out again?  Damn you 15s!,Joey,12.0,anger
135,135.0,TRAIN_0135,I love your place! Where is this guy from?,Mona,13.0,joy
136,136.0,TRAIN_0136,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,13.0,neutral
137,137.0,TRAIN_0137,"Oh wow! So, you’re more than just dinosaurs.",Mona,13.0,surprise
138,138.0,TRAIN_0138,So much more.,Ross,13.0,neutral
139,139.0,TRAIN_0139,"Well, well to sum up, we’re having fun, you look young.",Ross,14.0,neutral
140,140.0,TRAIN_0140,Okay,Mona,14.0,neutral
141,141.0,TRAIN_0141,But that’s not enough. So… So…here’s a key to my apartment.,Ross,14.0,neutral
142,142.0,TRAIN_0142,Really?!,Mona,14.0,surprise
143,143.0,TRAIN_0143,Really.,Ross,14.0,neutral
144,144.0,TRAIN_0144,You don’t think this is too fast.,Mona,14.0,neutral
145,145.0,TRAIN_0145,Get Out!,Ross,15.0,anger
146,146.0,TRAIN_0146,"Ross, can I talk to you for a minute?",Charlie,15.0,neutral
147,147.0,TRAIN_0147,"Yes, please!  So, what's going on?",Ross,15.0,neutral
148,148.0,TRAIN_0148,"Uh, well... Joey and I broke up.",Charlie,15.0,sadness
149,149.0,TRAIN_0149,"Oh my God, wh-what happened?",Ross,15.0,surprise
150,150.0,TRAIN_0150,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,15.0,sadness
151,151.0,TRAIN_0151,I knew that was him!,Ross,15.0,anger
152,152.0,TRAIN_0152,"Anyway I just, uh, I think it's for the best.",Charlie,15.0,sadness
153,153.0,TRAIN_0153,"Hey, you ok?",Ross,15.0,neutral
154,154.0,TRAIN_0154,I guess.,Charlie,15.0,sadness
155,155.0,TRAIN_0155,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,15.0,neutral
156,156.0,TRAIN_0156,I started to realize that I was having feelings for someone  else.,Charlie,15.0,neutral
157,157.0,TRAIN_0157,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,15.0,neutral
158,158.0,TRAIN_0158,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,15.0,neutral
159,159.0,TRAIN_0159,"Yeah, can you guys just throw him in the pool later?",Charlie,15.0,neutral
160,160.0,TRAIN_0160,Or we could throw you both in,Professore Clerk,15.0,joy
161,161.0,TRAIN_0161,"Ok, gentlemen!",Ross,15.0,anger
162,162.0,TRAIN_0162,Please!,Ross,15.0,anger
163,163.0,TRAIN_0163,Aren't we a little old for this?,Ross,15.0,anger
164,164.0,TRAIN_0164,"I mean, we're scientists, right?",Ross,15.0,neutral
165,165.0,TRAIN_0165,We're academics.,Ross,15.0,anger
166,166.0,TRAIN_0166,And most importantly I... you-you will have to catch us first.,Ross,15.0,joy
167,167.0,TRAIN_0167,"GO, GO, GO!",Ross,15.0,joy
168,168.0,TRAIN_0168,"Go, go, go!",Ross,16.0,joy
169,169.0,TRAIN_0169,"Oh yeah, now everybody wants to be under this hat!",Rachel,16.0,joy
170,170.0,TRAIN_0170,Oy!!,Phoebe,16.0,disgust
171,171.0,TRAIN_0171,What’s with all this sand?,Monica,16.0,surprise
172,172.0,TRAIN_0172,"Oh, yeah, Bob said there might be flood damage.",Phoebe,16.0,neutral
173,173.0,TRAIN_0173,"Yeah, either that, or he has a really big cat.",Ross,16.0,neutral
174,174.0,TRAIN_0174,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,17.0,anger
